YZBC,物化生,QNVIIAPLU,11,118,143,146,97,88,57,0,0,0,649
BVQG,物化生,PZUKUPCVP,11,120,117,91,39,79,67,0,0,0,513
JXOT,物化生,UAIMXQBRT,11,110,97,100,78,60,49,0,0,0,494
ZFNU,物化生,OKOAPPZJL,11,116,65,127,90,49,30,0,0,0,477
GKMQ,物化生,JOIMJMERL,11,75,138,103,47,68,32,0,0,0,463
SION,物化生,DSUNLNNGJ,11,94,40,145,80,65,35,0,0,0,459
PIQF,物化生,JNMKKOROT,11,98,145,34,70,61,46,0,0,0,454
SJUG,物化生,NLRVFSHRQ,11,76,123,125,28,32,65,0,0,0,449
YTHX,物化生,OTAVWUXVY,11,97,139,14,94,21,51,0,0,0,416
JXXZ,物化生,STXPSWZSD,11,95,46,133,21,26,87,0,0,0,408
OPQZ,物化生,HKGJDPMHK,11,123,32,24,76,24,93,0,0,0,372
RHLE,物化生,GETYVDJSH,11,73,147,11,92,43,1,0,0,0,367
JEYA,物化生,MWAIXAJNT,11,68,50,123,28,1,91,0,0,0,361
QQNQ,物化生,AADPHNLRA,11,145,10,75,61,28,32,0,0,0,351
IGLS,物化生,CWWITIYRB,11,66,70,55,54,62,36,0,0,0,343
NHBF,物化生,EWONMRXCF,11,20,62,9,84,86,82,0,0,0,343
WPSU,物化生,DJFPOWJLM,11,71,111,36,70,24,19,0,0,0,331
UNFE,物化生,ANNUCHAYD,11,107,26,15,78,22,82,0,0,0,330
最显眼的人,物化生,114514,11,44,111,95,15,38,25,0,0,0,328
ZEUH,物化生,RCNQRSDRT,11,13,92,33,64,36,66,0,0,0,304
QMXO,物化生,QITDXZCCR,11,124,1,24,45,83,7,0,0,0,284
ECOT,物化生,QWWLRVPWG,11,118,35,2,18,40,66,0,0,0,279
JFAD,物化生,JAFDFTTZX,11,47,17,70,0,64,39,0,0,0,237
WAYY,物化生,AKRMORSUV,11,27,37,42,4,3,15,0,0,0,128
