JXOT,物化生,UAIMXQBRT,11,121,132,59,97,75,28,0,0,0,512
YZBC,物化生,QNVIIAPLU,11,143,32,135,80,48,73,0,0,0,511
RHLE,物化生,GETYVDJSH,11,117,95,108,50,59,76,0,0,0,505
WAYY,物化生,AKRMORSUV,11,109,139,138,70,5,12,0,0,0,473
BVQG,物化生,PZUKUPCVP,11,59,73,107,62,67,90,0,0,0,458
SJUG,物化生,NLRVFSHRQ,11,103,10,83,89,66,96,0,0,0,447
最显眼的人,物化生,114514,11,54,138,87,69,30,47,0,0,0,425
UNFE,物化生,ANNUCHAYD,11,80,117,76,28,41,80,0,0,0,422
OPQZ,物化生,HKGJDPMHK,11,75,34,136,75,17,76,0,0,0,413
YTHX,物化生,OTAVWUXVY,11,100,24,80,93,39,75,0,0,0,411
QMXO,物化生,QITDXZCCR,11,60,31,112,48,90,68,0,0,0,409
SION,物化生,DSUNLNNGJ,11,147,18,89,62,51,36,0,0,0,403
ZFNU,物化生,OKOAPPZJL,11,48,8,130,65,74,63,0,0,0,388
WPSU,物化生,DJFPOWJLM,11,61,67,110,89,25,21,0,0,0,373
ZEUH,物化生,RCNQRSDRT,11,26,33,146,63,82,17,0,0,0,367
NHBF,物化生,EWONMRXCF,11,20,88,34,57,70,88,0,0,0,357
JXXZ,物化生,STXPSWZSD,11,87,127,61,8,54,10,0,0,0,347
JFAD,物化生,JAFDFTTZX,11,1,129,44,52,12,93,0,0,0,331
PIQF,物化生,JNMKKOROT,11,100,34,90,50,0,56,0,0,0,330
IGLS,物化生,CWWITIYRB,11,86,11,39,29,74,85,0,0,0,324
QQNQ,物化生,AADPHNLRA,11,84,57,26,36,86,23,0,0,0,312
GKMQ,物化生,JOIMJMERL,11,78,58,57,21,49,46,0,0,0,309
JEYA,物化生,MWAIXAJNT,11,20,89,13,60,0,22,0,0,0,204
ECOT,物化生,QWWLRVPWG,11,11,9,11,3,38,52,0,0,0,124
